budget,difficulty,policy,alloc,expected_accuracy
1,0.1,ARIS,P=0.0;S=1.0;V=0.0;R=0.0,0.5578
1,0.1,BEST-SINGLE,S,0.5578
1,0.1,SNELL,P=0.0;S=1.0;V=0.0;R=0.0,0.5578
1,0.1,UNIFORM,P=0.2;S=0.2;V=0.2;R=0.2,0.498
2,0.1,ARIS,P=1.0;S=1.0;V=0.0;R=0.0,0.7304
2,0.1,BEST-SINGLE,S,0.6846
2,0.1,SNELL,P=0.0;S=2.0;V=0.0;R=0.0,0.6846
2,0.1,UNIFORM,P=0.5;S=0.5;V=0.5;R=0.5,0.68
4,0.1,ARIS,P=3.0;S=1.0;V=0.0;R=0.0,0.8998
4,0.1,BEST-SINGLE,P,0.8619
4,0.1,SNELL,P=0.0;S=4.0;V=0.0;R=0.0,0.8045
4,0.1,UNIFORM,P=1.0;S=1.0;V=1.0;R=1.0,0.8564
8,0.1,ARIS,P=7.0;S=1.0;V=0.0;R=0.0,0.9862
8,0.1,BEST-SINGLE,P,0.9809
8,0.1,SNELL,P=0.0;S=8.0;V=0.0;R=0.0,0.9005
8,0.1,UNIFORM,P=2.0;S=2.0;V=2.0;R=2.0,0.9668
16,0.1,ARIS,P=15.0;S=1.0;V=0.0;R=0.0,0.9997
16,0.1,BEST-SINGLE,P,0.9996
16,0.1,SNELL,P=0.0;S=16.0;V=0.0;R=0.0,0.9618
16,0.1,UNIFORM,P=4.0;S=4.0;V=4.0;R=4.0,0.9978
32,0.1,ARIS,P=31.0;S=1.0;V=0.0;R=0.0,1.0
32,0.1,BEST-SINGLE,P,1.0
32,0.1,SNELL,P=0.0;S=32.0;V=0.0;R=0.0,0.9901
32,0.1,UNIFORM,P=8.0;S=8.0;V=8.0;R=8.0,1.0
64,0.1,ARIS,P=40.0;S=1.0;V=0.0;R=0.0,1.0
64,0.1,BEST-SINGLE,P,1.0
64,0.1,SNELL,P=0.0;S=64.0;V=0.0;R=0.0,0.9985
64,0.1,UNIFORM,P=16.0;S=16.0;V=16.0;R=16.0,1.0
1,0.3,ARIS,P=0.0;S=1.0;V=0.0;R=0.0,0.5267
1,0.3,BEST-SINGLE,S,0.5267
1,0.3,SNELL,P=0.0;S=1.0;V=0.0;R=0.0,0.5267
1,0.3,UNIFORM,P=0.2;S=0.2;V=0.2;R=0.2,0.4742
2,0.3,ARIS,P=1.0;S=1.0;V=0.0;R=0.0,0.6779
2,0.3,BEST-SINGLE,S,0.6528
